Tanggal,Tingkat Hunian (%),Harga Rata-rata (Rp)
2023-01-01,65,405454
2023-01-02,90,435628
2023-01-03,72,265273
2023-01-04,91,426916
2023-01-05,64,416091
2023-01-06,56,296491
2023-01-07,88,408775
2023-01-08,72,407975
2023-01-09,69,282921
2023-01-10,70,257508
2023-01-11,88,378235
2023-01-12,87,357552
2023-01-13,92,462402
2023-01-14,65,408685
2023-01-15,66,333207
2023-01-16,71,384117
2023-01-17,80,391573
2023-01-18,90,392020
2023-01-19,96,493034
2023-01-20,54,349113
2023-01-21,60,291601
2023-01-22,58,212597
2023-01-23,59,275665
2023-01-24,52,210692
2023-01-25,93,537186
2023-01-26,65,241112
2023-01-27,51,180917
2023-01-28,76,458054
2023-01-29,61,396672
2023-01-30,98,498687
2023-01-31,64,350092
2023-02-01,61,368950
2023-02-02,61,307037
2023-02-03,58,322928
2023-02-04,94,409921
2023-02-05,69,294534
2023-02-06,97,578634
2023-02-07,85,476568
2023-02-08,64,331166
2023-02-09,68,311510
2023-02-10,79,469511
2023-02-11,63,328496
2023-02-12,53,262899
2023-02-13,88,484497
2023-02-14,82,496146
2023-02-15,81,455518
2023-02-16,80,314462
2023-02-17,55,244483
2023-02-18,88,523699
2023-02-19,59,227451
2023-02-20,50,207286
2023-02-21,56,348660
2023-02-22,52,260661
2023-02-23,65,316252
2023-02-24,94,468493
2023-02-25,50,250114
2023-02-26,69,397771
2023-02-27,73,332462
2023-02-28,64,230501
2023-03-01,74,460509
2023-03-02,83,346056
2023-03-03,81,456718
2023-03-04,55,316063
2023-03-05,63,272120
2023-03-06,92,428588
2023-03-07,96,381585
2023-03-08,91,521712
2023-03-09,50,161408
2023-03-10,90,409294
2023-03-11,54,194821
2023-03-12,58,251186
2023-03-13,53,187834
2023-03-14,76,384927
2023-03-15,53,301645
2023-03-16,74,407894
2023-03-17,71,378506
2023-03-18,96,528164
2023-03-19,94,549933
2023-03-20,50,187379
2023-03-21,54,250457
2023-03-22,68,308914
2023-03-23,87,401258
2023-03-24,88,391111
2023-03-25,78,329735
2023-03-26,55,216424
2023-03-27,73,416386
2023-03-28,82,495071
2023-03-29,70,413609
2023-03-30,92,454121
2023-03-31,82,421685
2023-04-01,75,406224
2023-04-02,73,389613
2023-04-03,65,353130
2023-04-04,74,447290
2023-04-05,62,326512
2023-04-06,54,226766
2023-04-07,67,353546
2023-04-08,84,439207
2023-04-09,72,452111
2023-04-10,85,338554
2023-04-11,54,275971
2023-04-12,68,433054
2023-04-13,84,424934
2023-04-14,75,375582
2023-04-15,64,379108
2023-04-16,89,377943
2023-04-17,75,319191
2023-04-18,51,336091
2023-04-19,66,400943
2023-04-20,72,372786
2023-04-21,88,419261
2023-04-22,96,558796
2023-04-23,98,406474
2023-04-24,57,340738
2023-04-25,58,263491
2023-04-26,93,503513
2023-04-27,92,528289
2023-04-28,66,359180
2023-04-29,55,211439
2023-04-30,71,289993
2023-05-01,78,397913
2023-05-02,79,338194
2023-05-03,52,165656
2023-05-04,96,450064
2023-05-05,83,393977
2023-05-06,78,350062
2023-05-07,94,429419
2023-05-08,70,371298
2023-05-09,99,406380
2023-05-10,62,260070
2023-05-11,54,190134
2023-05-12,93,465061
2023-05-13,97,464081
2023-05-14,79,450190
2023-05-15,93,444210
2023-05-16,74,450076
2023-05-17,81,354190
2023-05-18,88,534114
2023-05-19,71,314575
2023-05-20,74,324728
2023-05-21,54,232731
2023-05-22,57,258710
2023-05-23,62,347414
2023-05-24,71,426156
2023-05-25,60,217238
2023-05-26,95,386102
2023-05-27,74,352218
2023-05-28,52,262349
2023-05-29,69,375534
2023-05-30,96,473397
2023-05-31,87,506402
2023-06-01,79,389900
2023-06-02,72,318305
2023-06-03,68,349293
2023-06-04,69,433998
2023-06-05,98,497936
2023-06-06,99,488546
2023-06-07,68,333535
2023-06-08,59,316735
2023-06-09,54,263190
2023-06-10,62,307293
2023-06-11,67,291108
2023-06-12,73,328882
2023-06-13,92,365262
2023-06-14,72,283012
2023-06-15,55,338216
2023-06-16,57,270208
2023-06-17,86,451641
2023-06-18,55,371015
2023-06-19,67,366511
2023-06-20,90,366779
2023-06-21,83,359815
2023-06-22,57,326252
2023-06-23,89,432233
2023-06-24,63,405689
2023-06-25,71,389750
2023-06-26,68,437492
2023-06-27,85,482562
2023-06-28,77,353332
2023-06-29,84,338709
2023-06-30,78,472940
2023-07-01,91,431470
2023-07-02,85,507908
2023-07-03,73,388715
2023-07-04,52,348008
2023-07-05,59,337161
2023-07-06,88,492314
2023-07-07,90,536853
2023-07-08,99,416836
2023-07-09,83,394042
2023-07-10,95,542348
2023-07-11,52,309382
2023-07-12,60,223081
2023-07-13,62,400248
2023-07-14,99,488437
2023-07-15,73,321767
2023-07-16,73,282428
2023-07-17,93,434963
2023-07-18,52,204634
2023-07-19,75,459056
2023-07-20,72,416407
2023-07-21,90,529756
2023-07-22,58,281414
2023-07-23,75,332886
2023-07-24,97,574367
2023-07-25,84,386867
2023-07-26,93,395629
2023-07-27,69,289730
2023-07-28,86,388933
2023-07-29,74,407421
2023-07-30,90,375640
2023-07-31,54,334521
2023-08-01,99,532973
2023-08-02,77,311769
2023-08-03,56,307428
2023-08-04,51,291522
2023-08-05,66,422024
2023-08-06,65,242102
2023-08-07,75,358843
2023-08-08,81,330595
2023-08-09,69,268500
2023-08-10,56,290293
2023-08-11,61,294244
2023-08-12,89,438180
2023-08-13,90,405474
2023-08-14,66,261970
