occupancy,price
56,253000
25,138000
34,155000
24,106000
28,123000
50,230000
86,363000
54,232000
22,115000
96,414000
20,104000
50,239000
54,237000
90,397000
25,133000
98,400000
44,197000
52,232000
84,346000
34,159000
32,151000
94,396000
32,143000
36,178000
42,182000
76,336000
36,163000
32,143000
50,226000
38,177000
26,124000
64,269000
52,221000
58,247000
94,381000
98,401000
84,343000
56,248000
56,259000
58,250000
70,310000
75,321000
72,310000
72,303000
55,252000
60,272000
76,326000
88,372000
65,298000
48,220000
95,408000
54,220000
92,381000
46,210000
35,165000
25,139000
98,420000
78,324000
80,346000
55,243000
35,173000
42,184000
52,224000
64,261000
88,361000
58,245000
65,285000
95,416000
28,135000
75,325000
38,161000
74,300000
90,382000
46,212000
35,162000
85,365000
60,263000
92,392000
78,328000
85,377000
20,115000
66,292000
32,152000
20,103000
35,176000
56,250000
24,117000
30,149000
84,350000
84,359000
76,334000
68,282000
56,241000
42,184000
54,231000
24,104000
28,131000
82,349000
34,147000
50,220000
66,291000
30,153000
64,272000
46,209000
82,349000
96,407000
82,342000
28,139000
66,288000
75,334000
96,407000
70,306000
56,258000
44,189000
94,388000
55,257000
55,254000
60,264000
88,372000
38,169000
45,211000
74,305000
75,325000
85,369000
50,229000
96,402000
35,173000
68,286000
36,179000
62,273000
86,376000
62,279000
85,370000
36,164000
95,407000
76,340000
60,277000
72,304000
24,109000
86,380000
24,108000
78,323000
50,235000
80,355000
40,197000
52,232000
58,251000
65,282000
20,114000
94,384000
24,116000
44,196000
42,195000
82,341000
94,393000
88,373000
78,331000
98,407000
45,204000
84,354000
64,275000
85,373000
22,112000
94,388000
96,403000
44,192000
80,340000
48,208000
35,168000
26,123000
25,132000
28,137000
30,154000
55,243000
92,399000
22,107000
74,305000
76,324000
24,101000
42,194000
96,412000
98,404000
36,162000
70,307000
22,117000
74,310000
25,129000
62,260000
68,282000
20,115000
84,348000
38,161000
24,101000
96,412000
25,124000
80,342000
42,181000
90,398000
56,248000
44,199000
