occupancy,price
55,278000
65,334000
70,337000
95,429000
70,331000
55,269000
90,406000
85,381000
85,374000
60,309000
60,298000
75,356000
80,352000
55,282000
85,386000
95,426000
95,415000
85,389000
80,367000
55,268000
50,259000
70,342000
80,368000
60,300000
95,423000
80,360000
90,390000
80,369000
75,354000
65,333000
80,351000
55,285000
75,357000
80,363000
60,304000
90,390000
80,363000
80,363000
85,370000
75,357000
80,360000
65,316000
95,414000
50,255000
60,309000
85,383000
65,328000
60,299000
55,265000
50,243000
65,323000
70,339000
60,297000
90,402000
60,293000
75,342000
95,415000
55,267000
65,330000
55,265000
85,374000
80,357000
60,305000
60,302000
70,345000
80,354000
50,248000
95,423000
75,350000
70,342000
80,368000
50,255000
70,346000
60,301000
75,348000
80,355000
60,308000
85,388000
95,416000
75,345000
70,344000
65,316000
65,327000
95,429000
70,331000
50,240000
60,301000
60,302000
55,268000
60,296000
90,396000
90,394000
85,387000
70,341000
90,398000
50,243000
95,414000
60,301000
55,267000
75,352000
90,407000
55,266000
75,353000
50,247000
70,341000
85,372000
50,254000
60,295000
70,347000
55,278000
70,348000
60,308000
50,259000
70,333000
75,344000
70,342000
95,418000
95,420000
75,349000
50,247000
75,355000
60,310000
65,328000
55,274000
80,357000
85,371000
60,294000
75,349000
95,411000
55,284000
65,327000
80,356000
70,343000
60,303000
75,345000
55,267000
80,365000
85,389000
75,355000
60,298000
80,366000
80,364000
50,249000
70,347000
65,327000
90,400000
50,252000
60,298000
80,367000
50,252000
80,366000
65,327000
70,348000
85,374000
65,316000
85,377000
75,342000
95,413000
80,363000
75,355000
55,266000
70,344000
75,350000
60,296000
95,421000
95,415000
60,298000
65,320000
85,382000
95,426000
50,244000
85,376000
90,398000
75,348000
65,332000
65,330000
60,302000
95,429000
55,276000
50,256000
90,401000
70,342000
60,306000
60,304000
80,368000
65,321000
70,343000
85,384000
85,389000
50,247000
85,373000
55,272000
90,392000
90,399000
95,419000
60,295000
55,272000
95,413000
75,349000
55,283000
